filename,staticO0,dynamicO0,staticO1,dynamicO1,staticOz,dynamicOz,staticO2,dynamicO2,output_O0,output_O1,output_O2,output_Oz
extr_linuxsoundpciaw2aw2-saa7146.c_snd_aw2_saa7146_get_limit.c,18,41,15,23,11,23,15,23,3,3,3,3
extr_linuxdriversvideofbdevi810i810_main.c_i810_calc_dclk.c,115,58065,87,42262,86,42263,88,42263,,,,
extr_disquedepshiredissds.c_sdsll2str.c,64,103,42,68,34,54,42,68,3,3,3,3
extr_darknetsrcblas.c_scal_cpu.c,23,3582,17,1541,16,1796,65,1009,,,,
extr_labenginecodeuiui_shared.c_LerpColor.c,53,153,23,65,23,70,50,50,,,,
extr_mpvsubsd_lavc.c_convert_pal.c,76,17351,53,9705,64,11496,126,3740,,,,
extr_nginxsrccorengx_string.c_ngx_rstrncmp.c,28,3326,13,1283,12,1282,13,1283,0,0,0,0
extr_linuxdriverstargetiscsiiscsi_target_nego.c_convert_null_to_semi.c,20,3325,14,1284,13,1539,98,1246,,,,
extr_FFmpeglibavcodecsnowenc.c_pix_sum.c,41,979979,29,262919,29,392463,91,131613,-833344235,-833344235,-833344235,-833344235
extr_Arduinotestsdevicetest_libcmemmove1.c_mymemmove.c,32,4356,15,1285,13,1539,106,160,,,,
extr_php-srcexthashhash_ripemd.c_RIPEMDEncode.c,62,3404,23,716,19,777,23,716,,,,
extr_kphp-kdbcommoncrc32.c_gf32_matrix_times.c,25,146,17,87,13,71,17,87,109798,109798,109798,109798
extr_linuxdriversisdnhardwareeiconmessage.c_ie_compare.c,35,9143,25,2899,22,3377,28,3376,1,1,1,1
extr_linuxdriversclksunxi-ngccu_mp.c_ccu_mp_find_best.c,60,51125,59,36845,52,40892,64,42988,,,,
extr_linuxdriversusbhostdwc_otgdwc_otg_cil.c_calc_num_in_eps.c,45,4499,24,1858,23,2121,53,1347,262,262,262,262
extr_reactosdllwin32versionversion.c_push_language.c,32,3337,18,1288,18,1544,18,1288,256,256,256,256
extr_linuxdriversnetethernetmarvellmv643xx_eth.c_addr_crc.c,43,962,28,595,27,645,51,266,66,66,66,66
extr_wcdbandroidsqlciphersqlite3.c_btreeHeapPull.c,72,95,38,47,35,47,37,45,1,1,1,1
extr_linuxtoolsperfpmu-eventsjson.c_countchar.c,25,3584,17,1795,16,2050,88,508,0,0,0,0
extr_reactosmodulesrosappsapplicationsnetdhcpdsrcutilsmacutils.c_maccpy.c,20,202,12,87,12,104,37,37,0,0,0,0
extr_disquesrcdict.c_rev.c,32,157,24,99,23,105,24,24,18374686479671623680,18374686479671623680,18374686479671623680,18374686479671623680
extr_linuxdriversvideofbdevnvidianv_hw.c_CalcVClock.c,30,84,37,69,37,75,37,69,,,,
extr_reactosmodulesrosappsapplicationsnettsclientrdesktopxwin.c_calculate_mask_weight.c,16,79,14,63,13,62,14,63,8,8,8,8
extr_linuxdriversvideofbdevpm3fb.c_pm3fb_calculate_clock.c,68,9756326,45,5528673,47,5984361,92,4163152,,,,
extr_FFmpeglibavcodectwinvq.c_interpolate.c,30,3589,18,1288,17,1543,41,733,,,,
extr_linuxdriverss390netqeth_l3_main.c_qeth_l3_convert_addr_to_bits.c,38,38516,22,14034,28,19138,45,8681,,,,
extr_linuxdriversnetwirelessrealtekrtl8192cucorertw_ieee80211.c_rtw_get_ie.c,40,61,22,32,21,31,22,32,,,,
extr_FFmpeglibavcodecilbcdec.c_index_conv.c,30,56,19,32,19,34,22,22,,,,
extr_linuxdriversnfcst21nfcai2c.c_get_frame_size.c,38,4853,21,1286,19,1539,24,1538,255,255,255,255
extr_linuxtoolsperfutilevsel.c___perf_evsel__sample_size.c,29,976,14,329,14,394,26,281,0,0,0,0
extr_linuxsoundpciemu10k1io.c_snd_emu10k1_rate_to_pitch.c,44,167,27,92,25,92,50,50,6756595,6756595,6756595,6756595
extr_reactosdllopenglmesateximage.c_logbase2.c,26,99,20,48,16,53,20,48,-1,-1,-1,-1
extr_raspberry-pi-osexerciseslesson022rssrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_linuxdriversusbgadgetfunctionu_audio.h_num_channels.c,17,89,16,65,12,63,16,65,8,8,8,8
extr_labenginecodeqcommonq_math.c_Q_log2.c,16,75,13,37,10,42,13,37,7,7,7,7
extr_FFmpeglibavfilteraf_afftdn.c_solve.c,105,1435893,93,494455,76,589827,165,390421,,,,
extr_linuxdriversmediadvb-frontendsdrx39xyjdrxj.c_frac28.c,45,173,28,88,28,113,64,64,268435456,268435456,268435456,268435456
extr_linuxsoundsynthemuxsoundfont.c_calc_parm_search.c,31,140,23,92,21,101,23,92,17,17,17,17
extr_linuxdriversmediaplatformvividvivid-vbi-gen.c_calc_parity.c,32,136,18,60,18,68,31,31,255,255,255,255
extr_reactossdklibfslibext2libMke2fs.c_int_log2.c,19,75,13,37,10,42,13,37,7,7,7,7
extr_tenginesrccorengx_string.c_ngx_cpystrn.c,35,5100,21,1792,20,2046,21,1792,,,,
extr_linuxnetncsincsi-cmd.c_ncsi_calculate_checksum.c,32,2448,19,908,16,1034,33,726,-4039638,-4039638,-4039638,-4039638
extr_linuxlibraid6mktables.c_gfmul.c,31,194,24,122,21,121,24,122,21474,21474,21474,21474
extr_linuxdriversclksunxiclk-sun4i-tcon-ch1.c_tcon_ch1_calc_divider.c,62,954,54,666,56,701,56,498,255,255,255,255
extr_h2ot00unitlibhttp2casper.c_get_end_of_cookie_value.c,21,3326,14,1284,12,1538,14,1284,255,255,255,255
extr_FFmpegtestscheckasmvp8dsp.c_wht4x4.c,175,683,54,189,54,202,153,153,,,,
extr_radare2librasmarcharmarmass.c_findyz.c,36,57660,27,42112,16,32390,93,15079,0,0,0,0
extr_linuxdriversmediai2cir-kbd-i2c.c_cmp_no_trail.c,33,4339,19,1792,19,1792,19,1792,0,0,0,0
extr_reactosdllwin32windowscodecsungif.c_BitSize.c,20,99,14,63,14,63,14,63,8,8,8,8
extr_reactosbootfreeldrfreeldrlibinifileparse.c_IniGetSettingValueSize.c,50,4625,33,2573,26,2060,30,2570,1,1,1,1
extr_FFmpeglibavfilteraf_astats.c_bit_depth.c,45,10090,26,3847,22,3848,26,3847,,,,
extr_Arduinotestsdevicetest_libctstring.c_mycopy.c,21,3326,14,1284,13,1539,109,143,,,,
extr_linuxdriversnetslipslip.c_slip_esc.c,49,6913,24,2818,21,3071,45,2439,257,257,257,257
extr_nodemcu-firmwareappmodulesstruct.c_correctbytes.c,37,3193,21,1155,18,1154,21,1155,,,,
extr_reactosmodulesrostestsapitestsgdi32GetFontResourceInfoW.c_ReplaceChars.c,21,3325,14,1538,11,1791,36,792,,,,
extr_masscansrcmain-readrange.c_count_cidr_bits.c,34,802,27,492,24,374,34,355,0,0,0,0
extr_linuxdriverssnioc3.c_crc8_byte.c,38,194,21,105,20,106,77,77,,,,
extr_raspberry-pi-osexerciseslesson052avenitosrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_Craftsrcmatrix.c_mat_multiply.c,66,1925,38,590,36,770,121,121,,,,
